shipment_id,quote_date,lane_id,carrier_name,nmfc_class,weight_lbs,weight_break_tier,base_cwt_rate,accessorials,accessorial_total,fuel_surcharge,quoted_rate_total
S00050,2025-12-12,CLT-ATL,Cardinal Motor Freight,175.0,815,M5C,62.54,none,0,112.13,621.79
S00095,2025-12-12,CLT-ATL,Palmetto Freight Systems,110.0,2126,2M,27.98,none,0,130.86,725.7
S00025,2025-12-18,CLT-ATL,Piedmont Freight Line,200.0,7638,5M,39.36,liftgate,95,661.32,3762.29
S00047,2025-12-22,CLT-ATL,Cardinal Motor Freight,60.0,4879,2M,18.51,none,0,198.73,1102.07
S00070,2025-12-22,CLT-ATL,Palmetto Freight Systems,92.5,1563,1M,26.83,none,0,92.27,511.67
S00054,2025-12-29,CLT-ATL,Cardinal Motor Freight,110.0,245,L5C,52.68,residential,110,28.4,267.47
S00024,2025-12-30,CLT-ATL,Piedmont Freight Line,70.0,1956,1M,25.41,limited_access,85,109.36,691.44
S00329,2025-01-02,CLT-CMH,BlueRidge LTL,92.5,7718,5M,19.43,none,0,329.94,1829.65
S00294,2025-01-04,CLT-CMH,Cardinal Motor Freight,100.0,7542,5M,19.61,none,0,325.38,1804.39
S00316,2025-01-04,CLT-CMH,Cardinal Motor Freight,70.0,2965,2M,18.75,none,0,122.28,678.11
S00337,2025-01-04,CLT-CMH,BlueRidge LTL,55.0,301,L5C,24.37,none,0,16.14,89.5
S00373,2025-01-06,CLT-CMH,Palmetto Freight Systems,250.0,3567,2M,34.06,none,0,267.26,1482.1
S00321,2025-01-09,CLT-CMH,BlueRidge LTL,175.0,5384,5M,32.41,none,0,383.88,2128.81
S00358,2025-01-15,CLT-CMH,Palmetto Freight Systems,50.0,1654,1M,13.38,none,0,48.67,269.92
S00299,2025-01-17,CLT-CMH,Cardinal Motor Freight,250.0,6110,5M,36.76,none,0,494.09,2739.98
S00371,2025-01-19,CLT-CMH,Palmetto Freight Systems,92.5,1398,1M,23.98,limited_access,85,73.75,493.95
S00391,2025-01-19,CLT-CMH,Crossroads Freight Co,100.0,3591,2M,27.86,none,0,220.11,1220.63
S00335,2025-01-22,CLT-CMH,BlueRidge LTL,77.5,5211,5M,18.18,none,0,208.38,1155.57
S00392,2025-01-23,CLT-CMH,Crossroads Freight Co,65.0,257,L5C,27.66,none,0,15.64,86.72
S00341,2025-01-24,CLT-CMH,BlueRidge LTL,60.0,335,L5C,26.53,none,0,19.55,108.42
S00320,2025-01-27,CLT-CMH,BlueRidge LTL,55.0,753,M5C,19.43,none,0,32.18,178.45
S00384,2025-01-28,CLT-CMH,Crossroads Freight Co,55.0,2406,2M,13.82,none,0,73.16,405.71
S00297,2025-01-29,CLT-CMH,Cardinal Motor Freight,50.0,1846,1M,18.04,liftgate,95,73.28,501.35
S00379,2025-01-31,CLT-CMH,Palmetto Freight Systems,125.0,3381,2M,27.12,none,0,201.71,1118.6
S00354,2025-02-04,CLT-CMH,Palmetto Freight Systems,250.0,5129,5M,38.03,none,0,429.17,2379.96
S00319,2025-02-06,CLT-CMH,Cardinal Motor Freight,200.0,342,L5C,62.04,limited_access,85,46.68,343.84
S00398,2025-02-08,CLT-CMH,Crossroads Freight Co,175.0,2513,2M,36.93,residential,110,204.16,1242.18
S00382,2025-02-11,CLT-CMH,Palmetto Freight Systems,100.0,7845,5M,18.05,liftgate,95,311.51,1822.47
S00375,2025-02-13,CLT-CMH,Palmetto Freight Systems,125.0,4083,2M,28.5,none,0,256.0,1419.65
S00296,2025-02-14,CLT-CMH,Cardinal Motor Freight,100.0,3462,2M,21.62,limited_access,85,164.64,997.99
S00327,2025-02-17,CLT-CMH,BlueRidge LTL,85.0,4728,2M,19.1,residential,110,198.65,1211.61
S00343,2025-02-21,CLT-CMH,BlueRidge LTL,92.5,7550,5M,19.74,liftgate,95,327.93,1913.54
S00365,2025-03-11,CLT-CMH,Palmetto Freight Systems,70.0,5826,5M,13.34,liftgate,95,170.93,1042.88
S00333,2025-03-20,CLT-CMH,BlueRidge LTL,175.0,3419,2M,39.12,none,0,294.29,1631.96
S00401,2025-03-20,CLT-CMH,Crossroads Freight Co,150.0,3629,2M,28.49,residential,110,227.48,1371.47
S00367,2025-03-22,CLT-CMH,Palmetto Freight Systems,200.0,6571,5M,28.45,none,0,411.21,2280.37
S00406,2025-03-23,CLT-CMH,Crossroads Freight Co,200.0,1451,1M,49.15,none,0,156.9,870.06
S00404,2025-03-25,CLT-CMH,Crossroads Freight Co,250.0,4942,2M,38.25,none,0,415.88,2306.25
S00374,2025-03-27,CLT-CMH,Palmetto Freight Systems,125.0,6736,5M,23.98,liftgate,95,355.33,2065.47
S00338,2025-04-08,CLT-CMH,BlueRidge LTL,125.0,7039,5M,23.46,liftgate,95,363.29,2109.61
S00386,2025-04-09,CLT-CMH,Crossroads Freight Co,77.5,2119,2M,18.29,none,0,85.28,472.92
S00325,2025-04-10,CLT-CMH,BlueRidge LTL,175.0,7346,5M,30.28,none,0,489.4,2713.92
S00363,2025-04-16,CLT-CMH,Palmetto Freight Systems,175.0,5854,5M,26.43,limited_access,85,340.36,1972.46
S00366,2025-04-21,CLT-CMH,Palmetto Freight Systems,150.0,1910,1M,34.07,none,0,143.14,793.8
S00378,2025-04-22,CLT-CMH,Palmetto Freight Systems,60.0,245,L5C,27.69,residential,110,14.93,192.77
S00376,2025-04-24,CLT-CMH,Palmetto Freight Systems,200.0,4488,2M,46.99,none,0,463.99,2573.06
S00400,2025-04-24,CLT-CMH,Crossroads Freight Co,55.0,7071,5M,12.53,none,0,194.97,1081.22
S00293,2025-04-28,CLT-CMH,Cardinal Motor Freight,200.0,6432,5M,30.82,none,0,436.15,2418.67
S00300,2025-05-05,CLT-CMH,Cardinal Motor Freight,50.0,2865,2M,13.69,residential,110,86.26,588.36
S00405,2025-05-07,CLT-CMH,Crossroads Freight Co,85.0,3522,2M,21.83,none,0,169.17,938.13
S00305,2025-05-11,CLT-CMH,Cardinal Motor Freight,175.0,4913,2M,35.48,none,0,383.54,2126.89
S00322,2025-05-11,CLT-CMH,BlueRidge LTL,85.0,3890,2M,21.37,none,0,182.87,1014.08
S00393,2025-05-20,CLT-CMH,Crossroads Freight Co,175.0,3484,2M,37.94,none,0,290.83,1612.78
S00308,2025-05-25,CLT-CMH,Cardinal Motor Freight,60.0,7060,5M,12.01,none,0,186.48,1034.1
S00318,2025-05-29,CLT-CMH,Cardinal Motor Freight,50.0,6790,5M,10.39,residential,110,155.15,970.36
S00346,2025-06-01,CLT-CMH,BlueRidge LTL,55.0,5567,5M,12.3,limited_access,85,150.66,920.49
S00403,2025-06-01,CLT-CMH,Crossroads Freight Co,70.0,7242,5M,15.44,none,0,246.0,1364.21
S00359,2025-06-06,CLT-CMH,Palmetto Freight Systems,110.0,7657,5M,21.45,none,0,361.39,2004.08
S00390,2025-06-08,CLT-CMH,Crossroads Freight Co,55.0,877,M5C,23.28,none,0,44.92,249.09
S00388,2025-06-14,CLT-CMH,Crossroads Freight Co,200.0,5488,5M,30.71,residential,110,370.72,2165.82
S00309,2025-06-17,CLT-CMH,Cardinal Motor Freight,150.0,6842,5M,27.14,none,0,408.52,2265.43
S00347,2025-06-17,CLT-CMH,BlueRidge LTL,77.5,4307,2M,20.2,residential,110,191.41,1171.45
S00311,2025-06-29,CLT-CMH,Cardinal Motor Freight,150.0,7761,5M,26.21,liftgate,95,447.59,2577.09
S00409,2025-06-30,CLT-CMH,Crossroads Freight Co,50.0,1748,1M,17.72,residential,110,68.13,487.8
S00349,2025-07-01,CLT-CMH,Palmetto Freight Systems,50.0,1225,1M,16.19,none,0,43.63,241.96
S00331,2025-07-02,CLT-CMH,BlueRidge LTL,100.0,2489,2M,25.55,residential,110,139.92,885.94
S00383,2025-07-08,CLT-CMH,Palmetto Freight Systems,200.0,4510,2M,40.06,none,0,397.48,2204.18
S00324,2025-07-09,CLT-CMH,BlueRidge LTL,55.0,2049,2M,15.33,none,0,69.12,383.3
S00339,2025-07-09,CLT-CMH,BlueRidge LTL,50.0,4242,2M,14.93,residential,110,139.34,882.71
S00364,2025-07-10,CLT-CMH,Palmetto Freight Systems,175.0,444,L5C,61.01,inside_delivery,150,59.59,480.46
S00353,2025-07-21,CLT-CMH,Palmetto Freight Systems,125.0,7687,5M,24.17,none,0,408.67,2266.28
S00301,2025-07-24,CLT-CMH,Cardinal Motor Freight,250.0,6365,5M,34.72,none,0,486.19,2696.17
S00407,2025-07-28,CLT-CMH,Crossroads Freight Co,100.0,1813,1M,26.29,none,0,104.86,581.49
S00312,2025-07-30,CLT-CMH,Cardinal Motor Freight,125.0,1745,1M,34.51,none,0,132.48,734.68
S00342,2025-08-01,CLT-CMH,BlueRidge LTL,100.0,7508,5M,21.09,inside_delivery,150,348.43,2082.19
S00350,2025-08-05,CLT-CMH,Palmetto Freight Systems,92.5,5737,5M,17.74,none,0,223.92,1241.72
S00397,2025-08-07,CLT-CMH,Crossroads Freight Co,110.0,4070,2M,23.6,none,0,211.34,1171.96
S00387,2025-08-17,CLT-CMH,Crossroads Freight Co,150.0,165,L5C,58.71,inside_delivery,150,21.31,268.19
S00315,2025-08-19,CLT-CMH,Cardinal Motor Freight,125.0,391,L5C,45.56,residential,110,39.19,327.33
S00369,2025-08-19,CLT-CMH,Palmetto Freight Systems,125.0,2261,2M,21.72,none,0,108.05,599.17
S00323,2025-08-21,CLT-CMH,BlueRidge LTL,100.0,6112,5M,21.54,none,0,289.58,1605.86
S00361,2025-08-21,CLT-CMH,Palmetto Freight Systems,70.0,6140,5M,11.9,limited_access,85,160.7,976.15
S00380,2025-08-23,CLT-CMH,Palmetto Freight Systems,100.0,5530,5M,20.46,residential,110,248.87,1490.11
S00352,2025-09-01,CLT-CMH,Palmetto Freight Systems,92.5,1419,1M,27.05,none,0,84.46,468.34
S00330,2025-09-04,CLT-CMH,BlueRidge LTL,85.0,2145,2M,21.05,none,0,99.33,550.83
S00385,2025-09-14,CLT-CMH,Crossroads Freight Co,77.5,686,M5C,29.74,residential,110,44.88,358.9
S00408,2025-09-14,CLT-CMH,Crossroads Freight Co,125.0,4521,2M,27.71,none,0,275.64,1528.56
S00396,2025-09-15,CLT-CMH,Crossroads Freight Co,70.0,5381,5M,16.84,none,0,199.36,1105.57
S00326,2025-09-16,CLT-CMH,BlueRidge LTL,50.0,2643,2M,16.56,liftgate;inside_delivery,245,96.3,779.04
S00345,2025-09-16,CLT-CMH,BlueRidge LTL,250.0,5441,5M,37.97,none,0,454.57,2520.77
S00368,2025-09-16,CLT-CMH,Palmetto Freight Systems,77.5,3236,2M,16.3,none,0,116.01,643.32
S00372,2025-09-23,CLT-CMH,Palmetto Freight Systems,100.0,2860,2M,23.51,none,0,147.95,820.43
S00334,2025-09-27,CLT-CMH,BlueRidge LTL,175.0,6069,5M,32.17,liftgate,95,429.53,2476.96
S00394,2025-09-27,CLT-CMH,Crossroads Freight Co,65.0,7471,5M,12.73,none,0,209.31,1160.7
S00389,2025-09-29,CLT-CMH,Crossroads Freight Co,50.0,1880,1M,18.03,none,0,74.55,413.43
S00307,2025-10-13,CLT-CMH,Cardinal Motor Freight,85.0,4426,2M,20.61,none,0,200.69,1112.91
S00317,2025-10-23,CLT-CMH,Cardinal Motor Freight,60.0,1725,1M,20.28,liftgate;residential,205,76.97,631.85
S00295,2025-10-27,CLT-CMH,Cardinal Motor Freight,55.0,1240,1M,18.16,none,0,49.53,274.67
S00303,2025-11-01,CLT-CMH,Cardinal Motor Freight,65.0,929,M5C,19.95,none,0,40.78,226.14
S00362,2025-11-02,CLT-CMH,Palmetto Freight Systems,125.0,691,M5C,38.14,none,0,57.99,321.57
S00357,2025-11-06,CLT-CMH,Palmetto Freight Systems,50.0,3638,2M,15.04,none,0,120.34,667.34
S00298,2025-11-10,CLT-CMH,Cardinal Motor Freight,100.0,2554,2M,23.14,none,0,130.04,721.16
S00332,2025-11-10,CLT-CMH,BlueRidge LTL,100.0,3886,2M,24.81,liftgate;limited_access,180,212.14,1356.4
S00402,2025-11-16,CLT-CMH,Crossroads Freight Co,85.0,7629,5M,17.62,none,0,295.65,1639.53
S00310,2025-11-17,CLT-CMH,Cardinal Motor Freight,77.5,1175,1M,22.42,none,0,57.95,321.36
S00340,2025-11-17,CLT-CMH,BlueRidge LTL,65.0,5188,5M,15.14,none,0,172.82,958.36
S00314,2025-11-19,CLT-CMH,Cardinal Motor Freight,92.5,6853,5M,15.59,none,0,235.0,1303.18
S00360,2025-11-22,CLT-CMH,Palmetto Freight Systems,150.0,6106,5M,22.99,none,0,308.88,1712.85
S00348,2025-11-24,CLT-CMH,BlueRidge LTL,110.0,1565,1M,28.95,none,0,99.66,552.67
S00344,2025-11-27,CLT-CMH,BlueRidge LTL,110.0,6800,5M,22.52,none,0,336.94,1868.49
S00328,2025-11-29,CLT-CMH,BlueRidge LTL,100.0,6765,5M,20.25,none,0,301.45,1671.69
S00336,2025-11-29,CLT-CMH,BlueRidge LTL,77.5,6288,5M,15.87,residential,110,219.57,1327.61
S00395,2025-12-01,CLT-CMH,Crossroads Freight Co,200.0,2438,2M,39.17,none,0,210.12,1165.19
S00356,2025-12-02,CLT-CMH,Palmetto Freight Systems,50.0,502,M5C,18.11,none,0,20.0,110.91
S00370,2025-12-07,CLT-CMH,Palmetto Freight Systems,125.0,6108,5M,23.0,liftgate,95,309.06,1808.87
S00381,2025-12-10,CLT-CMH,Palmetto Freight Systems,77.5,5907,5M,15.57,none,0,202.34,1122.05
S00399,2025-12-11,CLT-CMH,Crossroads Freight Co,85.0,5746,5M,17.09,none,0,216.06,1198.14
S00355,2025-12-15,CLT-CMH,Palmetto Freight Systems,70.0,2079,2M,19.26,liftgate,95,88.07,583.41
S00302,2025-12-18,CLT-CMH,Cardinal Motor Freight,250.0,5552,5M,37.5,inside_delivery,150,458.03,2689.98
S00306,2025-12-19,CLT-CMH,Cardinal Motor Freight,55.0,2185,2M,15.38,residential,110,73.91,519.88
S00351,2025-12-19,CLT-CMH,Palmetto Freight Systems,85.0,1829,1M,24.78,none,0,99.71,552.94
S00377,2025-12-25,CLT-CMH,Palmetto Freight Systems,85.0,2634,2M,19.81,liftgate,95,114.78,731.51
S00304,2025-12-26,CLT-CMH,Cardinal Motor Freight,70.0,7653,5M,13.14,none,0,221.3,1227.22
S00313,2025-12-30,CLT-CMH,Cardinal Motor Freight,60.0,7171,5M,11.07,none,0,174.71,968.87
S00129,2025-01-01,CLT-RIC,BlueRidge LTL,100.0,5942,5M,22.65,none,0,296.15,1642.29
S00139,2025-01-02,CLT-RIC,BlueRidge LTL,150.0,3891,2M,44.29,none,0,379.16,2102.59
S00143,2025-01-02,CLT-RIC,BlueRidge LTL,125.0,2023,2M,37.06,none,0,164.93,914.63
S00107,2025-01-08,CLT-RIC,Piedmont Freight Line,55.0,3358,2M,19.27,liftgate,95,142.38,884.54
S00135,2025-01-14,CLT-RIC,BlueRidge LTL,125.0,3302,2M,38.12,inside_delivery,150,276.94,1685.75
S00140,2025-01-28,CLT-RIC,BlueRidge LTL,125.0,5828,5M,31.96,residential,110,409.72,2382.07
S00121,2025-01-29,CLT-RIC,BlueRidge LTL,70.0,2853,2M,23.3,none,0,146.21,810.82
S00145,2025-02-09,CLT-RIC,Crossroads Freight Co,175.0,4992,2M,47.5,none,0,521.68,2892.97
S00125,2025-02-13,CLT-RIC,BlueRidge LTL,175.0,5408,5M,41.19,none,0,490.08,2717.72
S00117,2025-03-09,CLT-RIC,BlueRidge LTL,85.0,4650,2M,27.71,none,0,283.45,1571.87
S00115,2025-03-17,CLT-RIC,Piedmont Freight Line,55.0,2287,2M,18.59,none,0,93.54,518.72
S00132,2025-03-27,CLT-RIC,BlueRidge LTL,50.0,2024,2M,18.86,liftgate,95,83.96,560.62
S00144,2025-04-05,CLT-RIC,BlueRidge LTL,125.0,1944,1M,47.82,residential,110,204.5,1244.05
S00138,2025-04-07,CLT-RIC,BlueRidge LTL,175.0,4365,2M,44.61,none,0,428.42,2375.78
S00147,2025-05-07,CLT-RIC,Crossroads Freight Co,77.5,7507,5M,19.81,none,0,327.25,1814.73
S00131,2025-07-10,CLT-RIC,BlueRidge LTL,175.0,445,L5C,87.88,none,0,86.03,477.08
S00113,2025-07-17,CLT-RIC,Piedmont Freight Line,50.0,6967,5M,14.91,inside_delivery,150,228.46,1416.89
S00119,2025-07-17,CLT-RIC,BlueRidge LTL,85.0,4941,2M,28.04,none,0,304.8,1690.23
S00133,2025-08-03,CLT-RIC,BlueRidge LTL,100.0,2326,2M,32.22,none,0,164.89,914.39
S00111,2025-08-16,CLT-RIC,Piedmont Freight Line,55.0,7157,5M,14.77,none,0,232.49,1289.28
S00137,2025-08-16,CLT-RIC,BlueRidge LTL,110.0,4271,2M,35.55,none,0,334.04,1852.39
S00116,2025-08-20,CLT-RIC,Piedmont Freight Line,110.0,1249,1M,34.76,none,0,95.52,529.71
S00110,2025-08-23,CLT-RIC,Piedmont Freight Line,85.0,5120,5M,20.73,none,0,233.47,1294.71
S00148,2025-08-25,CLT-RIC,Crossroads Freight Co,110.0,736,M5C,46.28,none,0,74.94,415.57
S00142,2025-09-16,CLT-RIC,BlueRidge LTL,50.0,7047,5M,17.16,none,0,266.02,1475.18
S00118,2025-09-20,CLT-RIC,BlueRidge LTL,70.0,4884,2M,26.56,none,0,285.38,1582.54
S00146,2025-10-03,CLT-RIC,Crossroads Freight Co,200.0,294,L5C,80.72,none,0,52.21,289.51
S00123,2025-10-05,CLT-RIC,BlueRidge LTL,175.0,6351,5M,41.47,liftgate,95,579.45,3308.31
S00130,2025-10-08,CLT-RIC,BlueRidge LTL,175.0,4302,2M,51.89,none,0,491.07,2723.19
S00120,2025-10-09,CLT-RIC,BlueRidge LTL,60.0,4821,2M,22.98,liftgate,95,243.72,1446.55
S00112,2025-10-12,CLT-RIC,Piedmont Freight Line,77.5,6224,5M,19.95,none,0,273.12,1514.6
S00128,2025-10-16,CLT-RIC,BlueRidge LTL,125.0,2818,2M,40.05,residential,110,248.26,1486.74
S00108,2025-10-21,CLT-RIC,Piedmont Freight Line,77.5,2813,2M,24.48,none,0,151.48,840.01
S00150,2025-11-03,CLT-RIC,Crossroads Freight Co,50.0,952,M5C,21.2,none,0,44.39,246.18
S00126,2025-11-11,CLT-RIC,BlueRidge LTL,85.0,2484,2M,27.35,none,0,149.46,828.84
S00141,2025-11-12,CLT-RIC,BlueRidge LTL,50.0,632,M5C,26.62,none,0,37.01,205.23
S00127,2025-11-20,CLT-RIC,BlueRidge LTL,85.0,3722,2M,31.97,none,0,261.79,1451.74
S00109,2025-11-24,CLT-RIC,Piedmont Freight Line,92.5,5819,5M,22.05,none,0,282.29,1565.45
S00114,2025-11-25,CLT-RIC,Piedmont Freight Line,175.0,3310,2M,43.66,none,0,317.92,1763.02
S00122,2025-12-01,CLT-RIC,BlueRidge LTL,150.0,5603,5M,32.72,none,0,403.27,2236.29
S00136,2025-12-05,CLT-RIC,BlueRidge LTL,110.0,6269,5M,30.13,residential,110,415.54,2414.36
S00124,2025-12-27,CLT-RIC,BlueRidge LTL,70.0,5584,5M,22.86,none,0,280.81,1557.23
S00134,2025-12-28,CLT-RIC,BlueRidge LTL,85.0,7051,5M,22.04,none,0,341.84,1895.64
S00149,2025-12-30,CLT-RIC,Crossroads Freight Co,65.0,6102,5M,18.3,none,0,245.66,1362.32
S00576,2025-01-01,DFW-ATL,BlueRidge LTL,250.0,1193,1M,51.96,inside_delivery,150,136.38,906.29
S00580,2025-01-03,DFW-ATL,BlueRidge LTL,110.0,1305,1M,31.53,none,0,90.52,501.98
S00625,2025-01-19,DFW-ATL,Palmetto Freight Systems,92.5,6382,5M,17.69,none,0,248.35,1377.22
S00596,2025-01-20,DFW-ATL,BlueRidge LTL,200.0,4828,2M,44.65,none,0,474.22,2629.74
S00617,2025-01-21,DFW-ATL,Palmetto Freight Systems,250.0,1012,1M,49.71,residential,110,110.67,723.71
S00607,2025-02-12,DFW-ATL,Palmetto Freight Systems,70.0,1499,1M,24.68,none,0,81.4,451.42
S00611,2025-02-12,DFW-ATL,Palmetto Freight Systems,85.0,7613,5M,14.97,none,0,250.74,1390.46
S00631,2025-02-13,DFW-ATL,Palmetto Freight Systems,92.5,6192,5M,17.48,none,0,238.13,1320.55
S00605,2025-02-14,DFW-ATL,BlueRidge LTL,50.0,7634,5M,12.36,none,0,207.61,1151.29
S00567,2025-02-17,DFW-ATL,Piedmont Freight Line,55.0,490,L5C,20.6,none,0,22.21,123.17
S00583,2025-02-23,DFW-ATL,BlueRidge LTL,55.0,2637,2M,16.41,none,0,95.19,527.85
S00614,2025-02-24,DFW-ATL,Palmetto Freight Systems,125.0,691,M5C,43.37,none,0,65.93,365.6
S00581,2025-03-08,DFW-ATL,BlueRidge LTL,200.0,1709,1M,50.22,none,0,188.83,1047.15
S00584,2025-03-26,DFW-ATL,BlueRidge LTL,92.5,915,M5C,31.82,inside_delivery,150,64.06,505.25
S00629,2025-03-30,DFW-ATL,Palmetto Freight Systems,200.0,2129,2M,33.7,residential;inside_delivery,260,157.85,1135.33
S00572,2025-04-01,DFW-ATL,Piedmont Freight Line,77.5,7317,5M,14.62,none,0,235.32,1304.98
S00635,2025-04-05,DFW-ATL,Palmetto Freight Systems,77.5,6884,5M,13.77,none,0,208.5,1156.22
S00608,2025-04-14,DFW-ATL,Palmetto Freight Systems,65.0,7488,5M,13.31,none,0,219.23,1215.71
S00568,2025-04-16,DFW-ATL,Piedmont Freight Line,50.0,1195,1M,16.64,none,0,43.74,242.54
S00603,2025-04-17,DFW-ATL,BlueRidge LTL,125.0,154,L5C,43.37,residential,110,14.7,191.49
S00577,2025-04-25,DFW-ATL,BlueRidge LTL,70.0,1234,1M,22.57,none,0,61.28,339.82
S00566,2025-05-10,DFW-ATL,Piedmont Freight Line,85.0,4494,2M,20.2,limited_access,85,199.72,1192.56
S00592,2025-05-11,DFW-ATL,BlueRidge LTL,175.0,1243,1M,49.08,liftgate,95,134.21,839.26
S00578,2025-05-17,DFW-ATL,BlueRidge LTL,92.5,7463,5M,20.45,none,0,335.72,1861.69
S00598,2025-05-17,DFW-ATL,BlueRidge LTL,85.0,7441,5M,21.07,none,0,344.94,1912.83
S00593,2025-05-25,DFW-ATL,BlueRidge LTL,100.0,1497,1M,29.45,liftgate,95,96.98,632.81
S00588,2025-05-27,DFW-ATL,BlueRidge LTL,77.5,841,M5C,28.67,none,0,53.04,294.15
S00610,2025-05-31,DFW-ATL,Palmetto Freight Systems,100.0,5217,5M,16.0,none,0,183.69,1018.63
S00616,2025-06-22,DFW-ATL,Palmetto Freight Systems,100.0,4279,2M,23.78,none,0,223.82,1241.18
S00587,2025-06-23,DFW-ATL,BlueRidge LTL,175.0,5974,5M,29.43,inside_delivery,150,386.84,2295.2
S00626,2025-06-25,DFW-ATL,Palmetto Freight Systems,110.0,640,M5C,35.77,none,0,50.36,279.27
S00630,2025-06-29,DFW-ATL,Palmetto Freight Systems,85.0,3193,2M,19.44,none,0,136.59,757.43
S00579,2025-07-04,DFW-ATL,BlueRidge LTL,70.0,6161,5M,14.87,none,0,201.49,1117.38
S00599,2025-07-05,DFW-ATL,BlueRidge LTL,50.0,5791,5M,12.39,none,0,157.91,875.66
S00628,2025-07-15,DFW-ATL,Palmetto Freight Systems,175.0,3256,2M,35.73,none,0,255.96,1419.41
S00604,2025-07-16,DFW-ATL,BlueRidge LTL,60.0,3001,2M,16.35,none,0,107.97,598.72
S00618,2025-07-18,DFW-ATL,Palmetto Freight Systems,70.0,2979,2M,19.08,liftgate,95,125.07,788.56
S00569,2025-07-29,DFW-ATL,Piedmont Freight Line,55.0,3411,2M,14.07,liftgate,95,105.57,680.45
S00632,2025-08-02,DFW-ATL,Palmetto Freight Systems,150.0,6760,5M,26.85,none,0,399.34,2214.53
S00571,2025-08-12,DFW-ATL,Piedmont Freight Line,65.0,2312,2M,15.14,none,0,77.03,427.17
S00590,2025-08-12,DFW-ATL,BlueRidge LTL,250.0,5689,5M,45.41,none,0,568.38,3151.91
S00574,2025-08-26,DFW-ATL,Piedmont Freight Line,100.0,1829,1M,28.32,limited_access,85,113.95,716.93
S00609,2025-08-27,DFW-ATL,Palmetto Freight Systems,250.0,7045,5M,45.51,none,0,705.32,3911.3
S00565,2025-08-28,DFW-ATL,Piedmont Freight Line,85.0,2527,2M,20.07,none,0,111.57,618.7
S00585,2025-08-30,DFW-ATL,BlueRidge LTL,250.0,1091,1M,60.41,none,0,145.0,804.08
S00595,2025-08-30,DFW-ATL,BlueRidge LTL,60.0,7176,5M,14.5,inside_delivery,150,228.96,1419.71
S00613,2025-09-12,DFW-ATL,Palmetto Freight Systems,110.0,6178,5M,23.88,none,0,324.59,1799.99
S00601,2025-09-15,DFW-ATL,BlueRidge LTL,55.0,7897,5M,12.66,none,0,219.89,1219.37
S00633,2025-09-15,DFW-ATL,Palmetto Freight Systems,65.0,6976,5M,13.74,none,0,210.88,1169.45
S00575,2025-09-20,DFW-ATL,BlueRidge LTL,175.0,6419,5M,35.97,none,0,507.94,2816.77
S00621,2025-09-27,DFW-ATL,Palmetto Freight Systems,110.0,1454,1M,28.25,none,0,90.35,501.05
S00573,2025-10-10,DFW-ATL,Piedmont Freight Line,55.0,3572,2M,15.35,liftgate,95,120.63,763.94
S00612,2025-10-10,DFW-ATL,Palmetto Freight Systems,70.0,1258,1M,18.46,none,0,51.08,283.26
S00591,2025-10-11,DFW-ATL,BlueRidge LTL,77.5,7108,5M,17.69,none,0,276.71,1534.46
S00594,2025-10-14,DFW-ATL,BlueRidge LTL,55.0,725,M5C,20.21,none,0,32.23,178.73
S00600,2025-10-22,DFW-ATL,BlueRidge LTL,250.0,6219,5M,38.83,residential;limited_access,195,531.26,3141.1
S00582,2025-10-24,DFW-ATL,BlueRidge LTL,77.5,5186,5M,16.71,liftgate,95,190.62,1152.08
S00624,2025-11-01,DFW-ATL,Palmetto Freight Systems,50.0,2498,2M,12.28,none,0,67.46,374.12
S00634,2025-11-02,DFW-ATL,Palmetto Freight Systems,70.0,1084,1M,20.13,none,0,48.0,266.18
S00589,2025-11-03,DFW-ATL,BlueRidge LTL,70.0,4162,2M,18.2,none,0,166.61,923.93
S00606,2025-11-12,DFW-ATL,BlueRidge LTL,92.5,2376,2M,22.77,residential;limited_access,195,119.02,855.04
S00622,2025-11-15,DFW-ATL,Palmetto Freight Systems,92.5,4694,2M,22.58,liftgate,95,233.19,1388.17
S00597,2025-11-16,DFW-ATL,BlueRidge LTL,92.5,3907,2M,24.19,none,0,207.96,1153.25
S00620,2025-11-16,DFW-ATL,Palmetto Freight Systems,92.5,5760,5M,16.91,none,0,214.24,1188.07
S00570,2025-11-24,DFW-ATL,Piedmont Freight Line,50.0,867,M5C,18.31,none,0,34.93,193.72
S00602,2025-11-27,DFW-ATL,BlueRidge LTL,200.0,6891,5M,36.65,limited_access,85,555.66,3166.38
S00623,2025-11-28,DFW-ATL,Palmetto Freight Systems,110.0,7365,5M,15.87,none,0,257.08,1425.63
S00615,2025-12-07,DFW-ATL,Palmetto Freight Systems,55.0,5557,5M,9.8,none,0,119.8,664.32
S00619,2025-12-19,DFW-ATL,Palmetto Freight Systems,92.5,7299,5M,17.34,none,0,278.46,1544.19
S00627,2025-12-20,DFW-ATL,Palmetto Freight Systems,85.0,6032,5M,13.53,none,0,179.56,995.77
S00586,2025-12-27,DFW-ATL,BlueRidge LTL,200.0,7557,5M,33.64,none,0,559.25,3101.27
S00904,2025-01-02,DFW-IAH,BlueRidge LTL,125.0,6055,5M,32.5,none,0,432.93,2400.78
S00890,2025-01-08,DFW-IAH,Piedmont Freight Line,65.0,2102,2M,21.36,liftgate,95,98.78,642.8
S00896,2025-01-13,DFW-IAH,Cardinal Motor Freight,250.0,4233,2M,51.06,none,0,475.5,2636.87
