shipment_id,quote_date,lane_id,carrier_name,nmfc_class,class_band,weight_lbs,base_cwt_rate,benchmark_loo,other_quotes,rate_index_loo
S00883,2025-05-26,DFW-IAH,Piedmont Freight Line,125.0,high,3657,35.59,32.5,12,109.5
S00843,2025-06-07,LAX-PHX,Crossroads Freight Co,250.0,vhigh,5624,38.05,35.24,12,108.0
S00836,2025-02-12,LAX-PHX,Crossroads Freight Co,200.0,vhigh,2518,40.72,35.24,12,115.6
S00853,2025-07-29,LAX-PHX,Crossroads Freight Co,200.0,vhigh,2062,48.3,35.24,12,137.1
S00839,2025-04-22,LAX-PHX,Crossroads Freight Co,175.0,vhigh,598,50.92,35.24,12,144.5
S00844,2025-04-02,LAX-PHX,Crossroads Freight Co,250.0,vhigh,6940,35.35,35.24,12,100.3
S00830,2025-06-11,LAX-PHX,Crossroads Freight Co,200.0,vhigh,4034,40.45,35.24,12,114.8
S00064,2025-04-23,CLT-ATL,BlueRidge LTL,150.0,high,2259,44.1,35.44,12,124.4
S00166,2025-06-05,GSO-BNA,Cardinal Motor Freight,250.0,vhigh,2172,38.6,39.1,12,98.7
S00170,2025-11-14,GSO-BNA,Cardinal Motor Freight,200.0,vhigh,7775,32.05,39.1,12,82.0
S00179,2025-03-27,GSO-BNA,Cardinal Motor Freight,175.0,vhigh,1276,41.99,39.1,12,107.4
S00190,2025-04-10,GSO-BNA,Cardinal Motor Freight,175.0,vhigh,6453,26.37,39.1,12,67.4
S00192,2025-01-16,GSO-BNA,Cardinal Motor Freight,175.0,vhigh,2164,35.69,39.1,12,91.3
S00162,2025-08-23,GSO-BNA,Cardinal Motor Freight,250.0,vhigh,778,57.97,39.1,12,148.3
S00180,2025-07-01,GSO-BNA,Cardinal Motor Freight,250.0,vhigh,1540,53.25,39.1,12,136.2
S00164,2025-07-22,GSO-BNA,Cardinal Motor Freight,200.0,vhigh,2794,38.0,39.1,12,97.2
S00171,2025-11-10,GSO-BNA,Cardinal Motor Freight,250.0,vhigh,4804,50.57,39.1,12,129.3
S00182,2025-01-18,GSO-BNA,Cardinal Motor Freight,200.0,vhigh,3241,40.66,39.1,12,104.0
S00289,2025-01-11,ATL-MCO,Crossroads Freight Co,200.0,vhigh,2330,38.57,40.36,12,95.6
S00025,2025-12-18,CLT-ATL,Piedmont Freight Line,200.0,vhigh,7638,39.36,47.47,12,82.9
S00003,2025-09-17,CLT-ATL,Piedmont Freight Line,250.0,vhigh,1447,64.84,47.47,12,136.6
S00019,2025-11-20,CLT-ATL,Piedmont Freight Line,200.0,vhigh,7193,40.32,47.47,12,84.9
S00001,2025-04-29,CLT-ATL,Piedmont Freight Line,175.0,vhigh,7761,36.4,47.47,12,76.7
S00021,2025-06-30,CLT-ATL,Piedmont Freight Line,200.0,vhigh,7530,39.52,47.47,12,83.3
S00002,2025-02-21,CLT-ATL,Piedmont Freight Line,175.0,vhigh,2280,45.65,47.47,12,96.2
S00007,2025-02-20,CLT-ATL,Piedmont Freight Line,250.0,vhigh,1020,60.49,47.47,12,127.4
S00006,2025-07-10,CLT-ATL,Piedmont Freight Line,250.0,vhigh,5748,42.93,47.47,12,90.4
S00506,2025-03-04,ORD-CLT,Cardinal Motor Freight,65.0,low,4447,14.91,17.44,13,85.5
S00521,2025-04-29,ORD-CLT,Cardinal Motor Freight,50.0,low,6724,12.6,17.44,13,72.2
S00517,2025-09-22,ORD-CLT,Cardinal Motor Freight,55.0,low,3379,16.21,17.44,13,92.9
S00522,2025-07-23,ORD-CLT,Cardinal Motor Freight,60.0,low,4808,17.94,17.44,13,102.9
S00531,2025-07-18,ORD-CLT,Cardinal Motor Freight,60.0,low,3906,17.14,17.44,13,98.3
S00515,2025-08-26,ORD-CLT,Cardinal Motor Freight,50.0,low,7559,12.1,17.44,13,69.4
S00509,2025-01-11,ORD-CLT,Cardinal Motor Freight,65.0,low,978,22.97,17.44,13,131.7
S00535,2025-05-31,ORD-CLT,Cardinal Motor Freight,70.0,low,2628,16.49,17.44,13,94.6
S00526,2025-07-14,ORD-CLT,Cardinal Motor Freight,50.0,low,2622,14.25,17.44,13,81.7
S00533,2025-08-22,ORD-CLT,Cardinal Motor Freight,65.0,low,2566,17.82,17.44,13,102.2
S00514,2025-09-04,ORD-CLT,Cardinal Motor Freight,60.0,low,1138,18.65,17.44,13,106.9
S00508,2025-02-21,ORD-CLT,Cardinal Motor Freight,65.0,low,1108,18.61,17.44,13,106.7
S00479,2025-12-09,ATL-EWR,Palmetto Freight Systems,125.0,high,4819,22.98,20.82,13,110.4
S00983,2025-03-13,JFK-BOS,Cardinal Motor Freight,65.0,low,1156,22.89,21.16,13,108.2
S00976,2025-09-11,JFK-BOS,Cardinal Motor Freight,65.0,low,2227,22.46,21.16,13,106.1
S00987,2025-03-22,JFK-BOS,Cardinal Motor Freight,65.0,low,7051,15.27,21.16,13,72.2
S00979,2025-07-17,JFK-BOS,Cardinal Motor Freight,60.0,low,4499,21.17,21.16,13,100.0
S00315,2025-08-19,CLT-CMH,Cardinal Motor Freight,125.0,high,391,45.56,27.12,13,168.0
S00309,2025-06-17,CLT-CMH,Cardinal Motor Freight,150.0,high,6842,27.14,27.12,13,100.1
S00311,2025-06-29,CLT-CMH,Cardinal Motor Freight,150.0,high,7761,26.21,27.12,13,96.6
S00312,2025-07-30,CLT-CMH,Cardinal Motor Freight,125.0,high,1745,34.51,27.12,13,127.2
S00784,2025-02-03,LAX-PHX,Cardinal Motor Freight,150.0,high,2042,30.69,27.95,13,109.8
S00780,2025-06-30,LAX-PHX,Cardinal Motor Freight,150.0,high,5487,25.5,27.95,13,91.2
S00795,2025-03-13,LAX-PHX,Cardinal Motor Freight,125.0,high,2897,32.38,27.95,13,115.8
S00790,2025-05-10,LAX-PHX,Cardinal Motor Freight,150.0,high,181,45.82,27.95,13,163.9
S00841,2025-01-26,LAX-PHX,Crossroads Freight Co,125.0,high,2863,27.95,30.06,13,93.0
S00849,2025-06-26,LAX-PHX,Crossroads Freight Co,150.0,high,5501,28.27,30.06,13,94.0
S00837,2025-06-23,LAX-PHX,Crossroads Freight Co,150.0,high,6187,26.7,30.06,13,88.8
S00857,2025-03-06,LAX-PHX,Crossroads Freight Co,150.0,high,6018,27.07,30.06,13,90.1
S00905,2025-04-07,DFW-IAH,BlueRidge LTL,125.0,high,6954,35.21,30.11,13,116.9
S00929,2025-03-11,DFW-IAH,BlueRidge LTL,150.0,high,4326,49.52,30.11,13,164.5
S00904,2025-01-02,DFW-IAH,BlueRidge LTL,125.0,high,6055,32.5,30.11,13,107.9
S00911,2025-04-03,DFW-IAH,BlueRidge LTL,150.0,high,1207,51.84,30.11,13,172.2
S00921,2025-06-13,DFW-IAH,BlueRidge LTL,125.0,high,2707,38.4,30.11,13,127.5
S00920,2025-06-12,DFW-IAH,BlueRidge LTL,125.0,high,2667,35.59,30.11,13,118.2
S00542,2025-05-16,ORD-CLT,BlueRidge LTL,200.0,vhigh,1314,49.11,32.95,13,149.0
S00558,2025-02-11,ORD-CLT,BlueRidge LTL,200.0,vhigh,7910,37.83,32.95,13,114.8
S00559,2025-04-13,ORD-CLT,BlueRidge LTL,175.0,vhigh,2009,39.8,32.95,13,120.8
S00563,2025-05-25,ORD-CLT,BlueRidge LTL,250.0,vhigh,3414,42.04,32.95,13,127.6
S00564,2025-05-30,ORD-CLT,BlueRidge LTL,200.0,vhigh,236,69.16,32.95,13,209.9
S00469,2025-01-29,ATL-EWR,BlueRidge LTL,50.0,low,2360,12.77,13.66,14,93.5
S00467,2025-08-12,ATL-EWR,BlueRidge LTL,50.0,low,1990,14.01,13.66,14,102.6
S00468,2025-05-08,ATL-EWR,BlueRidge LTL,60.0,low,1659,16.0,13.66,14,117.1
S00462,2025-06-20,ATL-EWR,BlueRidge LTL,70.0,low,6138,11.51,13.66,14,84.3
S00449,2025-04-13,ATL-EWR,BlueRidge LTL,60.0,low,174,21.03,13.66,14,154.0
S00458,2025-08-17,ATL-EWR,BlueRidge LTL,65.0,low,2109,15.87,13.66,14,116.2
S00450,2025-11-11,ATL-EWR,BlueRidge LTL,55.0,low,3748,12.77,13.66,14,93.5
S00471,2025-04-01,ATL-EWR,BlueRidge LTL,55.0,low,7439,10.79,13.66,14,79.0
S00473,2025-11-28,ATL-EWR,BlueRidge LTL,60.0,low,6092,11.67,13.66,14,85.4
S00475,2025-08-06,ATL-EWR,BlueRidge LTL,65.0,low,6672,12.16,13.66,14,89.0
S00447,2025-10-30,ATL-EWR,BlueRidge LTL,70.0,low,1485,18.17,13.66,14,133.0
S00433,2025-08-20,ATL-EWR,Piedmont Freight Line,110.0,mid,1236,24.3,16.19,14,150.1
S00413,2025-06-20,ATL-EWR,Piedmont Freight Line,100.0,mid,3957,18.63,16.19,14,115.1
S00411,2025-08-18,ATL-EWR,Piedmont Freight Line,110.0,mid,4136,18.79,16.19,14,116.1
S00428,2025-10-24,ATL-EWR,Piedmont Freight Line,92.5,mid,5929,12.34,16.19,14,76.2
S00426,2025-03-21,ATL-EWR,Piedmont Freight Line,85.0,mid,7868,12.38,16.19,14,76.5
S00415,2025-10-21,ATL-EWR,Piedmont Freight Line,77.5,mid,3206,14.48,16.19,14,89.4
S00417,2025-03-21,ATL-EWR,Piedmont Freight Line,92.5,mid,689,21.32,16.19,14,131.7
S00412,2025-10-27,ATL-EWR,Piedmont Freight Line,110.0,mid,2138,19.03,16.19,14,117.5
S00421,2025-06-01,ATL-EWR,Piedmont Freight Line,85.0,mid,4902,16.38,16.19,14,101.2
S00583,2025-02-23,DFW-ATL,BlueRidge LTL,55.0,low,2637,16.41,16.64,14,98.6
S00579,2025-07-04,DFW-ATL,BlueRidge LTL,70.0,low,6161,14.87,16.64,14,89.4
S00601,2025-09-15,DFW-ATL,BlueRidge LTL,55.0,low,7897,12.66,16.64,14,76.1
S00589,2025-11-03,DFW-ATL,BlueRidge LTL,70.0,low,4162,18.2,16.64,14,109.4
S00605,2025-02-14,DFW-ATL,BlueRidge LTL,50.0,low,7634,12.36,16.64,14,74.3
S00599,2025-07-05,DFW-ATL,BlueRidge LTL,50.0,low,5791,12.39,16.64,14,74.5
S00595,2025-08-30,DFW-ATL,BlueRidge LTL,60.0,low,7176,14.5,16.64,14,87.1
S00577,2025-04-25,DFW-ATL,BlueRidge LTL,70.0,low,1234,22.57,16.64,14,135.6
S00604,2025-07-16,DFW-ATL,BlueRidge LTL,60.0,low,3001,16.35,16.64,14,98.3
S00594,2025-10-14,DFW-ATL,BlueRidge LTL,55.0,low,725,20.21,16.64,14,121.5
S01015,2025-11-03,JFK-BOS,Palmetto Freight Systems,55.0,low,5545,11.99,22.46,14,53.4
S01018,2025-05-19,JFK-BOS,Palmetto Freight Systems,70.0,low,233,38.53,22.46,14,171.5
S01016,2025-10-21,JFK-BOS,Palmetto Freight Systems,65.0,low,6767,19.66,22.46,14,87.5
S00626,2025-06-25,DFW-ATL,Palmetto Freight Systems,110.0,mid,640,35.77,22.77,14,157.1
S00616,2025-06-22,DFW-ATL,Palmetto Freight Systems,100.0,mid,4279,23.78,22.77,14,104.4
S00621,2025-09-27,DFW-ATL,Palmetto Freight Systems,110.0,mid,1454,28.25,22.77,14,124.1
S00619,2025-12-19,DFW-ATL,Palmetto Freight Systems,92.5,mid,7299,17.34,22.77,14,76.2
S00610,2025-05-31,DFW-ATL,Palmetto Freight Systems,100.0,mid,5217,16.0,22.77,14,70.3
S00620,2025-11-16,DFW-ATL,Palmetto Freight Systems,92.5,mid,5760,16.91,22.77,14,74.3
S00631,2025-02-13,DFW-ATL,Palmetto Freight Systems,92.5,mid,6192,17.48,22.77,14,76.8
S00622,2025-11-15,DFW-ATL,Palmetto Freight Systems,92.5,mid,4694,22.58,22.77,14,99.2
S00635,2025-04-05,DFW-ATL,Palmetto Freight Systems,77.5,mid,6884,13.77,22.77,14,60.5
S00613,2025-09-12,DFW-ATL,Palmetto Freight Systems,110.0,mid,6178,23.88,22.77,14,104.9
S00623,2025-11-28,DFW-ATL,Palmetto Freight Systems,110.0,mid,7365,15.87,22.77,14,69.7
S00611,2025-02-12,DFW-ATL,Palmetto Freight Systems,85.0,mid,7613,14.97,22.77,14,65.7
S00625,2025-01-19,DFW-ATL,Palmetto Freight Systems,92.5,mid,6382,17.69,22.77,14,77.7
S00627,2025-12-20,DFW-ATL,Palmetto Freight Systems,85.0,mid,6032,13.53,22.77,14,59.4
S00630,2025-06-29,DFW-ATL,Palmetto Freight Systems,85.0,mid,3193,19.44,22.77,14,85.4
S00387,2025-08-17,CLT-CMH,Crossroads Freight Co,150.0,high,165,58.71,27.12,14,216.5
S00401,2025-03-20,CLT-CMH,Crossroads Freight Co,150.0,high,3629,28.49,27.12,14,105.1
S00408,2025-09-14,CLT-CMH,Crossroads Freight Co,125.0,high,4521,27.71,27.12,14,102.2
S00148,2025-08-25,CLT-RIC,Crossroads Freight Co,110.0,mid,736,46.28,27.71,14,167.0
S00147,2025-05-07,CLT-RIC,Crossroads Freight Co,77.5,mid,7507,19.81,27.71,14,71.5
S00997,2025-01-04,JFK-BOS,BlueRidge LTL,85.0,mid,584,34.84,30.77,14,113.2
S01001,2025-05-29,JFK-BOS,BlueRidge LTL,85.0,mid,740,37.88,30.77,14,123.1
S01003,2025-06-13,JFK-BOS,BlueRidge LTL,100.0,mid,6517,28.88,30.77,14,93.9
S01008,2025-10-14,JFK-BOS,BlueRidge LTL,85.0,mid,5358,23.64,30.77,14,76.8
S01012,2025-04-24,JFK-BOS,BlueRidge LTL,110.0,mid,2273,36.21,30.77,14,117.7
S01009,2025-02-17,JFK-BOS,BlueRidge LTL,77.5,mid,4309,27.68,30.77,14,90.0
S00988,2025-03-27,JFK-BOS,BlueRidge LTL,110.0,mid,5270,28.83,30.77,14,93.7
S01007,2025-09-24,JFK-BOS,BlueRidge LTL,92.5,mid,3003,31.46,30.77,14,102.2
S00996,2025-11-18,JFK-BOS,BlueRidge LTL,92.5,mid,4171,32.4,30.77,14,105.3
S00993,2025-11-27,JFK-BOS,BlueRidge LTL,100.0,mid,3330,33.09,30.77,14,107.5
S00991,2025-07-17,JFK-BOS,BlueRidge LTL,92.5,mid,2995,33.32,30.77,14,108.3
S00992,2025-07-24,JFK-BOS,BlueRidge LTL,85.0,mid,5861,25.01,30.77,14,81.3
S01013,2025-08-11,JFK-BOS,BlueRidge LTL,110.0,mid,2686,34.26,30.77,14,111.3
S00998,2025-01-06,JFK-BOS,BlueRidge LTL,92.5,mid,6245,26.3,30.77,14,85.5
S00646,2025-12-29,ORD-DFW,Piedmont Freight Line,200.0,vhigh,2899,30.71,32.53,14,94.4
S00637,2025-03-09,ORD-DFW,Piedmont Freight Line,175.0,vhigh,5703,22.74,32.53,14,69.9
S00652,2025-03-09,ORD-DFW,Piedmont Freight Line,250.0,vhigh,1734,40.72,32.53,14,125.2
S00666,2025-07-07,ORD-DFW,Piedmont Freight Line,250.0,vhigh,4096,34.46,32.53,14,105.9
S00638,2025-05-03,ORD-DFW,Piedmont Freight Line,175.0,vhigh,5383,22.44,32.53,14,69.0
S00030,2025-07-18,CLT-ATL,Cardinal Motor Freight,250.0,vhigh,3098,73.82,43.92,14,168.1
S00050,2025-12-12,CLT-ATL,Cardinal Motor Freight,175.0,vhigh,815,62.54,43.92,14,142.4
S00059,2025-07-21,CLT-ATL,Cardinal Motor Freight,200.0,vhigh,748,68.24,43.92,14,155.4
S00048,2025-02-22,CLT-ATL,Cardinal Motor Freight,200.0,vhigh,4463,51.83,43.92,14,118.0
S00031,2025-10-30,CLT-ATL,Cardinal Motor Freight,175.0,vhigh,6735,36.81,43.92,14,83.8
S00052,2025-02-12,CLT-ATL,Cardinal Motor Freight,200.0,vhigh,4017,47.47,43.92,14,108.1
S00875,2025-06-03,DFW-IAH,Piedmont Freight Line,175.0,vhigh,7450,35.7,52.81,14,67.6
S00876,2025-05-11,DFW-IAH,Piedmont Freight Line,250.0,vhigh,5492,40.01,52.81,14,75.8
S00885,2025-10-01,DFW-IAH,Piedmont Freight Line,250.0,vhigh,3845,56.42,52.81,14,106.8
S00432,2025-06-11,ATL-EWR,Piedmont Freight Line,70.0,low,6935,11.79,13.99,15,84.3
S00442,2025-11-06,ATL-EWR,Piedmont Freight Line,60.0,low,385,18.37,13.99,15,131.3
S00445,2025-03-17,ATL-EWR,Piedmont Freight Line,65.0,low,3591,12.93,13.99,15,92.4
S00434,2025-08-05,ATL-EWR,Piedmont Freight Line,70.0,low,7965,12.09,13.99,15,86.4
S00414,2025-01-16,ATL-EWR,Piedmont Freight Line,70.0,low,3366,13.0,13.99,15,92.9
S00440,2025-11-19,ATL-EWR,Piedmont Freight Line,65.0,low,399,19.74,13.99,15,141.1
S00419,2025-09-02,ATL-EWR,Piedmont Freight Line,65.0,low,6167,11.21,13.99,15,80.1
S00427,2025-11-21,ATL-EWR,Piedmont Freight Line,70.0,low,2187,13.66,13.99,15,97.6
S00444,2025-02-06,ATL-EWR,Piedmont Freight Line,55.0,low,707,13.81,13.99,15,98.7
S00424,2025-04-29,ATL-EWR,Piedmont Freight Line,50.0,low,2284,11.45,13.99,15,81.8
S00453,2025-09-26,ATL-EWR,BlueRidge LTL,85.0,mid,5633,14.66,16.38,15,89.5
S00461,2025-03-04,ATL-EWR,BlueRidge LTL,85.0,mid,3975,19.37,16.38,15,118.3
S00452,2025-05-29,ATL-EWR,BlueRidge LTL,100.0,mid,4016,18.83,16.38,15,115.0
S00466,2025-02-01,ATL-EWR,BlueRidge LTL,85.0,mid,7429,13.76,16.38,15,84.0
S00474,2025-08-09,ATL-EWR,BlueRidge LTL,85.0,mid,2496,16.19,16.38,15,98.8
S00456,2025-05-15,ATL-EWR,BlueRidge LTL,77.5,mid,7763,13.41,16.38,15,81.9
S00455,2025-08-09,ATL-EWR,BlueRidge LTL,77.5,mid,1183,18.65,16.38,15,113.9
S00460,2025-10-05,ATL-EWR,BlueRidge LTL,92.5,mid,1779,19.56,16.38,15,119.4
S00811,2025-03-16,LAX-PHX,BlueRidge LTL,150.0,high,2331,30.06,28.25,15,106.4
S00816,2025-09-18,LAX-PHX,BlueRidge LTL,125.0,high,5376,22.62,28.25,15,80.1
S00678,2025-08-12,ORD-DFW,Cardinal Motor Freight,175.0,vhigh,1933,32.53,30.71,15,105.9
S00699,2025-03-22,ORD-DFW,Cardinal Motor Freight,250.0,vhigh,2126,35.69,30.71,15,116.2
S00672,2025-07-31,ORD-DFW,Cardinal Motor Freight,200.0,vhigh,4145,27.59,30.71,15,89.8
S00674,2025-12-19,ORD-DFW,Cardinal Motor Freight,175.0,vhigh,4157,29.96,30.71,15,97.6
S00446,2025-01-23,ATL-EWR,BlueRidge LTL,175.0,vhigh,1975,35.95,30.72,15,117.0
S00464,2025-09-11,ATL-EWR,BlueRidge LTL,250.0,vhigh,3805,42.55,30.72,15,138.5
S00472,2025-04-18,ATL-EWR,BlueRidge LTL,200.0,vhigh,621,42.5,30.72,15,138.3
S00451,2025-06-21,ATL-EWR,BlueRidge LTL,250.0,vhigh,502,52.71,30.72,15,171.6
S00459,2025-12-11,ATL-EWR,BlueRidge LTL,175.0,vhigh,1971,36.74,30.72,15,119.6
S00476,2025-03-21,ATL-EWR,BlueRidge LTL,200.0,vhigh,5113,26.83,30.72,15,87.3
S00824,2025-01-14,LAX-PHX,Palmetto Freight Systems,250.0,vhigh,4265,35.24,38.34,15,91.9
S00820,2025-12-20,LAX-PHX,Palmetto Freight Systems,200.0,vhigh,7482,33.03,38.34,15,86.2
S00821,2025-05-12,LAX-PHX,Palmetto Freight Systems,200.0,vhigh,5252,34.19,38.34,15,89.2
S00964,2025-11-26,DFW-IAH,Crossroads Freight Co,250.0,vhigh,5054,44.49,52.43,15,84.9
S00947,2025-02-04,DFW-IAH,Crossroads Freight Co,175.0,vhigh,2788,53.84,52.43,15,102.7
S00937,2025-09-08,DFW-IAH,Palmetto Freight Systems,250.0,vhigh,343,88.82,52.43,15,169.4
S00899,2025-10-03,DFW-IAH,Cardinal Motor Freight,250.0,vhigh,3761,60.87,52.43,15,116.1
S00946,2025-09-12,DFW-IAH,Palmetto Freight Systems,200.0,vhigh,7226,49.3,52.43,15,94.0
S00896,2025-01-13,DFW-IAH,Cardinal Motor Freight,250.0,vhigh,4233,51.06,52.43,15,97.4
S00608,2025-04-14,DFW-ATL,Palmetto Freight Systems,65.0,low,7488,13.31,15.35,16,86.7
S00618,2025-07-18,DFW-ATL,Palmetto Freight Systems,70.0,low,2979,19.08,15.35,16,124.3
S00624,2025-11-01,DFW-ATL,Palmetto Freight Systems,50.0,low,2498,12.28,15.35,16,80.0
S00612,2025-10-10,DFW-ATL,Palmetto Freight Systems,70.0,low,1258,18.46,15.35,16,120.3
S00633,2025-09-15,DFW-ATL,Palmetto Freight Systems,65.0,low,6976,13.74,15.35,16,89.5
S00615,2025-12-07,DFW-ATL,Palmetto Freight Systems,55.0,low,5557,9.8,15.35,16,63.8
S00607,2025-02-12,DFW-ATL,Palmetto Freight Systems,70.0,low,1499,24.68,15.35,16,160.8
S00634,2025-11-02,DFW-ATL,Palmetto Freight Systems,70.0,low,1084,20.13,15.35,16,131.1
S00191,2025-10-17,GSO-BNA,Cardinal Motor Freight,65.0,low,6611,12.83,15.94,16,80.5
S00184,2025-07-18,GSO-BNA,Cardinal Motor Freight,55.0,low,6133,11.88,15.94,16,74.5
S00181,2025-12-10,GSO-BNA,Cardinal Motor Freight,50.0,low,6672,11.85,15.94,16,74.3
S00176,2025-04-26,GSO-BNA,Cardinal Motor Freight,70.0,low,7502,14.46,15.94,16,90.7
S00187,2025-09-19,GSO-BNA,Cardinal Motor Freight,60.0,low,4407,14.08,15.94,16,88.3
S00173,2025-12-13,GSO-BNA,Cardinal Motor Freight,60.0,low,3619,15.24,15.94,16,95.6
S00167,2025-05-25,GSO-BNA,Cardinal Motor Freight,65.0,low,5922,13.89,15.94,16,87.1
S00186,2025-06-19,GSO-BNA,Cardinal Motor Freight,60.0,low,1934,20.78,15.94,16,130.4
S00177,2025-12-22,GSO-BNA,Cardinal Motor Freight,50.0,low,4739,13.16,15.94,16,82.6
S00175,2025-02-14,GSO-BNA,Cardinal Motor Freight,50.0,low,5687,12.44,15.94,16,78.0
S00172,2025-03-28,GSO-BNA,Cardinal Motor Freight,70.0,low,2702,18.87,15.94,16,118.4
S00168,2025-11-30,GSO-BNA,Cardinal Motor Freight,65.0,low,7006,15.39,15.94,16,96.5
S00165,2025-06-02,GSO-BNA,Cardinal Motor Freight,55.0,low,5278,12.76,15.94,16,80.1
S00547,2025-03-20,ORD-CLT,BlueRidge LTL,70.0,low,3602,17.73,16.21,16,109.4
S00555,2025-07-09,ORD-CLT,BlueRidge LTL,50.0,low,5217,12.11,16.21,16,74.7
S00543,2025-10-13,ORD-CLT,BlueRidge LTL,70.0,low,782,27.83,16.21,16,171.7
S00551,2025-03-09,ORD-CLT,BlueRidge LTL,70.0,low,6144,14.34,16.21,16,88.5
S00541,2025-09-05,ORD-CLT,BlueRidge LTL,50.0,low,479,22.1,16.21,16,136.3
S00544,2025-05-24,ORD-CLT,BlueRidge LTL,70.0,low,1682,23.0,16.21,16,141.9
S00548,2025-07-03,ORD-CLT,BlueRidge LTL,50.0,low,6707,13.62,16.21,16,84.0
S00540,2025-01-22,ORD-CLT,BlueRidge LTL,50.0,low,1145,17.44,16.21,16,107.6
S00537,2025-12-26,ORD-CLT,BlueRidge LTL,60.0,low,752,21.86,16.21,16,134.9
S00975,2025-11-05,JFK-BOS,Piedmont Freight Line,50.0,low,4620,16.7,21.17,16,78.9
S00338,2025-04-08,CLT-CMH,BlueRidge LTL,125.0,high,7039,23.46,27.14,16,86.4
S00817,2025-08-09,LAX-PHX,Palmetto Freight Systems,125.0,high,5305,21.55,28.25,16,76.3
S00959,2025-03-03,DFW-IAH,Crossroads Freight Co,125.0,high,7370,30.55,32.5,16,94.0
S00960,2025-09-20,DFW-IAH,Crossroads Freight Co,125.0,high,7470,29.89,32.5,16,92.0
S00966,2025-06-10,DFW-IAH,Crossroads Freight Co,150.0,high,1384,48.41,32.5,16,149.0
S00496,2025-02-13,ORD-CLT,Piedmont Freight Line,175.0,vhigh,7924,27.29,35.39,16,77.1
S00493,2025-11-26,ORD-CLT,Piedmont Freight Line,200.0,vhigh,994,50.48,35.39,16,142.6
S00767,2025-07-22,LAX-PHX,Piedmont Freight Line,200.0,vhigh,4304,39.8,37.46,16,106.2
S00751,2025-12-30,LAX-PHX,Piedmont Freight Line,250.0,vhigh,3389,42.68,37.46,16,113.9
S00494,2025-12-19,ORD-CLT,Piedmont Freight Line,77.5,mid,2702,19.17,22.98,17,83.4
S00498,2025-08-30,ORD-CLT,Piedmont Freight Line,110.0,mid,7199,17.08,22.98,17,74.3
S00497,2025-06-11,ORD-CLT,Piedmont Freight Line,100.0,mid,1705,25.99,22.98,17,113.1
S00941,2025-04-15,DFW-IAH,Palmetto Freight Systems,150.0,high,3413,29.59,35.21,17,84.0
S00939,2025-07-18,DFW-IAH,Palmetto Freight Systems,125.0,high,5406,24.2,35.21,17,68.7
S00363,2025-04-16,CLT-CMH,Palmetto Freight Systems,175.0,vhigh,5854,26.43,36.93,17,71.6
S00373,2025-01-06,CLT-CMH,Palmetto Freight Systems,250.0,vhigh,3567,34.06,36.93,17,92.2
S00383,2025-07-08,CLT-CMH,Palmetto Freight Systems,200.0,vhigh,4510,40.06,36.93,17,108.5
S00354,2025-02-04,CLT-CMH,Palmetto Freight Systems,250.0,vhigh,5129,38.03,36.93,17,103.0
S00364,2025-07-10,CLT-CMH,Palmetto Freight Systems,175.0,vhigh,444,61.01,36.93,17,165.2
S00376,2025-04-24,CLT-CMH,Palmetto Freight Systems,200.0,vhigh,4488,46.99,36.93,17,127.2
S00367,2025-03-22,CLT-CMH,Palmetto Freight Systems,200.0,vhigh,6571,28.45,36.93,17,77.0
S00209,2025-02-18,GSO-BNA,Palmetto Freight Systems,250.0,vhigh,3313,46.81,39.1,17,119.7
S00225,2025-08-30,GSO-BNA,Palmetto Freight Systems,250.0,vhigh,2477,50.32,39.1,17,128.7
S00213,2025-10-03,GSO-BNA,Palmetto Freight Systems,200.0,vhigh,4880,32.42,39.1,17,82.9
S00214,2025-04-21,GSO-BNA,Palmetto Freight Systems,250.0,vhigh,5606,29.43,39.1,17,75.3
S00220,2025-05-24,GSO-BNA,Palmetto Freight Systems,200.0,vhigh,1327,42.91,39.1,17,109.7
S00105,2025-07-01,CLT-ATL,Crossroads Freight Co,200.0,vhigh,6717,37.45,47.47,17,78.9
S00098,2025-11-03,CLT-ATL,Crossroads Freight Co,200.0,vhigh,7484,43.92,47.47,17,92.5
S00104,2025-01-14,CLT-ATL,Crossroads Freight Co,200.0,vhigh,6037,37.53,47.47,17,79.1
S00569,2025-07-29,DFW-ATL,Piedmont Freight Line,55.0,low,3411,14.07,14.87,18,94.6
S00568,2025-04-16,DFW-ATL,Piedmont Freight Line,50.0,low,1195,16.64,14.87,18,111.9
S00567,2025-02-17,DFW-ATL,Piedmont Freight Line,55.0,low,490,20.6,14.87,18,138.5
S00571,2025-08-12,DFW-ATL,Piedmont Freight Line,65.0,low,2312,15.14,14.87,18,101.8
S00570,2025-11-24,DFW-ATL,Piedmont Freight Line,50.0,low,867,18.31,14.87,18,123.1
S00573,2025-10-10,DFW-ATL,Piedmont Freight Line,55.0,low,3572,15.35,14.87,18,103.2
S00183,2025-06-09,GSO-BNA,Cardinal Motor Freight,100.0,mid,6951,18.9,19.32,18,97.8
S00195,2025-06-22,GSO-BNA,Cardinal Motor Freight,110.0,mid,6504,19.96,19.32,18,103.3
S00163,2025-05-01,GSO-BNA,Cardinal Motor Freight,100.0,mid,1437,30.74,19.32,18,159.1
S00178,2025-01-11,GSO-BNA,Cardinal Motor Freight,85.0,mid,3719,22.48,19.32,18,116.4
